adolescent_girl,anganwadi_centers,anganwadi_helpers,anganwadi_workers,district_id,districts,eligible_beneficiaries,month,project,sector,state_id,states_uts,year
,28181.0,,26943,0,20,822757,9,128,1173,16,0,2024
25658.0,28179.0,26518.0,27101,0,20,878932,1,128,1177,16,0,2025
,28179.0,,26934,0,20,819536,5,128,1172,16,0,2024
,28116.0,,27040,0,20,794211,7,128,1135,16,0,2023
,28170.0,,26989,0,20,818221,10,128,1175,16,0,2024
,28178.0,,27094,0,20,805342,2,128,1169,16,0,2024
,28195.0,,27039,0,20,806825,3,128,1171,16,0,2024
,28175.0,26389.0,27078,0,20,857808,11,128,1175,16,0,2024
,720.0,701.0,715,0,3,12176,12,5,26,6,0,2024
,720.0,,710,0,3,15813,2,6,25,6,0,2023
,720.0,,710,0,3,15715,3,6,25,6,0,2023
,720.0,,711,0,3,12513,1,5,25,6,0,2024
0.0,720.0,717.0,720,0,3,12437,2,5,26,6,0,2025
,720.0,,713,0,3,12905,6,5,26,6,0,2024
,720.0,,710,0,3,15282,4,5,25,6,0,2023
,720.0,,710,0,3,12517,10,5,25,6,0,2023
,720.0,,710,0,3,12589,8,5,25,6,0,2023
,720.0,,710,0,3,12536,9,5,25,6,0,2023
,720.0,,711,0,3,12507,11,5,25,6,0,2023
,720.0,,710,0,3,14409,5,5,25,6,0,2023
,720.0,,715,0,3,12295,7,5,26,6,0,2024
0.0,720.0,718.0,720,0,3,12488,3,5,26,6,0,2025
,720.0,,710,0,3,14148,6,5,25,6,0,2023
,720.0,,715,0,3,13123,4,5,26,6,0,2024
,720.0,,715,0,3,12067,8,5,26,6,0,2024
,720.0,,711,0,3,12507,12,5,25,6,0,2023
,720.0,,715,0,3,11969,9,5,26,6,0,2024
0.0,720.0,702.0,717,0,3,12401,1,5,26,6,0,2025
,720.0,,713,0,3,12900,5,5,26,6,0,2024
,720.0,,710,0,3,12944,7,5,25,6,0,2023
,720.0,,715,0,3,11835,10,5,26,6,0,2024
,720.0,,715,0,3,12865,2,5,25,6,0,2024
,720.0,,715,0,3,13212,3,5,26,6,0,2024
,720.0,700.0,715,0,3,12093,11,5,26,6,0,2024
,3980.0,3941.0,3969,0,12,104064,12,60,167,28,0,2024
,3980.0,,3914,0,11,61650,2,60,167,28,0,2023
,3980.0,,3913,0,11,60720,3,60,167,28,0,2023
,3980.0,,3954,0,11,114241,1,60,169,28,0,2024
23937.0,3980.0,3940.0,3970,0,12,102957,2,60,167,28,0,2025
,3980.0,,3941,0,12,110569,6,60,169,28,0,2024
,3980.0,,3914,0,11,61772,4,60,167,28,0,2023
,3980.0,,3932,0,11,116138,10,60,169,28,0,2023
,3980.0,,3916,0,11,107623,8,60,169,28,0,2023
,3980.0,,3920,0,11,113257,9,60,169,28,0,2023
,3980.0,,3956,0,11,117988,11,60,169,28,0,2023
,3980.0,,3938,0,11,77996,5,60,167,28,0,2023
,3980.0,,3939,0,12,110963,7,60,167,28,0,2024
23612.0,3980.0,3946.0,3970,0,12,102890,3,60,167,28,0,2025
,3980.0,,3936,0,11,92934,6,60,169,28,0,2023
,3980.0,,3954,0,12,112413,4,60,169,28,0,2024
,3980.0,,3967,0,12,109945,8,60,167,28,0,2024
,3980.0,,3955,0,11,115919,12,60,169,28,0,2023
,3980.0,,3968,0,12,109463,9,60,167,28,0,2024
23998.0,3980.0,3941.0,3968,0,12,101706,1,60,167,28,0,2025
,3980.0,,3941,0,12,111199,5,60,169,28,0,2024
,3980.0,,3934,0,11,103081,7,60,169,28,0,2023
,3980.0,,3970,0,12,107257,10,60,167,28,0,2024
,3980.0,,3958,0,12,113880,2,60,169,28,0,2024
,3980.0,,3958,0,12,113619,3,60,169,28,0,2024
,3980.0,3941.0,3970,0,12,106117,11,60,167,28,0,2024
,53065.0,50701.0,52363,0,33,3450627,12,426,2124,17,0,2024
,53027.0,,52565,0,33,3982280,2,427,2123,17,0,2023
,53033.0,,52441,0,33,3974314,3,427,2123,17,0,2023
,53065.0,,52609,0,33,3752532,1,426,2123,17,0,2024
62225.0,53065.0,50555.0,52259,0,33,3452137,2,426,2124,17,0,2025
,53065.0,,52643,0,33,3609535,6,426,2124,17,0,2024
,53027.0,,52332,0,33,3982684,4,427,2123,17,0,2023
,53027.0,,3292,0,33,3750536,10,426,2123,17,0,2023
,53027.0,,3197,0,33,3789506,8,426,2123,17,0,2023
,53027.0,,3255,0,33,3759548,9,426,2123,17,0,2023
,53027.0,,52652,0,33,3726868,11,426,2123,17,0,2023
,53027.0,,52303,0,33,3929849,5,427,2123,17,0,2023
,53065.0,,52550,0,33,3532162,7,426,2124,17,0,2024
60201.0,53065.0,50551.0,52200,0,33,3446529,3,426,2124,17,0,2025
,53027.0,,52289,0,33,3863943,6,426,2123,17,0,2023
,53065.0,,52620,0,33,3711632,4,426,2123,17,0,2024
,53065.0,,52504,0,33,3520663,8,426,2124,17,0,2024
,53027.0,,52616,0,33,3744087,12,426,2123,17,0,2023
,53065.0,,52489,0,33,3507241,9,426,2124,17,0,2024
63946.0,53065.0,50671.0,52306,0,33,3454806,1,426,2124,17,0,2025
,53065.0,,52652,0,33,3669220,5,426,2123,17,0,2024
,53028.0,,52604,0,33,3816658,7,426,2123,17,0,2023
,53065.0,,52463,0,33,3470661,10,426,2124,17,0,2024
,53065.0,,52314,0,33,3744986,2,426,2123,17,0,2024
,53065.0,,52537,0,33,3714787,3,426,2123,17,0,2024
,53065.0,50817.0,52422,0,33,3450823,11,426,2124,17,0,2024
,110584.0,94893.0,106191,0,36,6562064,12,581,4186,1,0,2024
,110306.0,,109550,0,36,7456774,2,553,3891,1,0,2023
,110333.0,,109375,0,36,7444243,3,553,3891,1,0,2023
,110467.0,,108486,0,36,6857778,1,581,4162,1,0,2024
105512.0,110590.0,94753.0,106334,0,36,6546023,2,581,4189,1,0,2025
,110525.0,,106163,0,36,6898400,6,581,4177,1,0,2024
,110351.0,,109140,0,36,7439108,4,553,3892,1,0,2023
,110474.0,,108234,0,36,7300938,10,579,4136,1,0,2023
,110445.0,,108339,0,36,7332407,8,553,3910,1,0,2023
,110466.0,,108317,0,36,7262852,9,570,4011,1,0,2023
,110515.0,,108551,0,36,7228817,11,581,4160,1,0,2023
,110396.0,,109007,0,36,7337399,5,553,3895,1,0,2023
,110525.0,,106049,0,36,6807561,7,581,4177,1,0,2024
105476.0,110592.0,94665.0,106508,0,36,6545947,3,581,4192,1,0,2025
,110429.0,,108745,0,36,7364879,6,553,3903,1,0,2023
,110513.0,,107291,0,36,6888724,4,581,4170,1,0,2024
,110526.0,,106016,0,36,6714138,8,581,4177,1,0,2024
,110465.0,,108507,0,36,7032780,12,581,4161,1,0,2023
,110523.0,,105987,0,36,6632698,9,581,4179,1,0,2024
105729.0,110590.0,94921.0,106158,0,36,6558812,1,581,4188,1,0,2025
,110546.0,,106713,0,36,6838899,5,581,4175,1,0,2024
,110434.0,,108660,0,36,7360652,7,553,3905,1,0,2023
,110530.0,,106228,0,36,6566083,10,581,4181,1,0,2024
,110465.0,,107750,0,36,6956912,2,581,4167,1,0,2024
,110475.0,,107642,0,36,6909209,3,581,4168,1,0,2024
,110552.0,94877.0,106270,0,36,6572574,11,581,4185,1,0,2024
,54449.0,36458.0,43872,0,38,4165187,12,434,1782,19,0,2024
,54439.0,,44119,0,38,3976423,2,435,1801,19,0,2023
,54420.0,,43931,0,38,4003445,3,435,1801,19,0,2023
,54449.0,,44254,0,38,4055651,1,434,1785,19,0,2024
44341.0,54449.0,35538.0,44477,0,38,4217322,2,434,1784,19,0,2025
,54449.0,,44169,0,38,4022793,6,434,1783,19,0,2024
,54441.0,,43915,0,38,4028391,4,435,1800,19,0,2023
,54432.0,,43771,0,38,4031389,10,434,1785,19,0,2023
